Input_Text,Accepted_Completion,Rejected_Completion
What was the focus of Ukraine's industrial policy according to President Zelenskyy in 2024?,Developing the domestic defense industry including drones and microchips.,Focusing solely on agricultural exports.
"What type of flu virus was detected in a pig in Oregon, marking the first instance of such an infection in the US?",H5N1 bird flu virus.,H1N1 swine flu virus.
In what type of farming operation was the H5N1 virus detected in a pig in Oregon?,A backyard farming operation.,A commercial farming operation.
When did officials announce the detection of H5N1 in an Oregon pig?,On a Wednesday.,On a Friday.
What other types of animals have tested positive for H5N1 in the US aside from pigs?,Poultry at the same farm.,Only domestic cats nearby.
"Which virus can pigs host in addition to the bird flu virus, raising concerns about genetic mixing?",Human flu viruses.,Rabies viruses.
What recent year did the H5N1 strain cause significant fatalities among birds and sea mammals?,Since 2020.,Since 2018.
"In what South American country were 40,000 sea lions and seals reportedly killed by H5N1?",Brazil.,Argentina.
What type of animals besides pigs recently showed unforeseen susceptibility to H5N1 in the US?,Cattle herds.,Domestic dogs.
"As of 2022, what was the fourth leading cause of death in the United States?",COVID-19 was the fourth leading cause of death.,Heart disease was the fourth leading cause of death.
Who is the co-senior author of the study conducted by the Cleveland Clinic about COVID-19 and cardiovascular risks?,Dr. Stanley Hazen is the co-senior author of the study.,Dr. Robert Martinez is the co-senior author of the study.
"According to Dr. Gerhard Albrecht, which blood types are more at risk for adverse cardiovascular events after contracting COVID-19?","Blood types A, B, and AB are more at risk.","Blood types O, A, and B are more at risk."
In what year did the COVID-19 virus first emerge?,The COVID-19 virus first emerged in 2019.,The COVID-19 virus first emerged in 2020.
What type of study data did Dr. Stanley Hazen mention in relation to COVID-19 and cardiac events?,Dr. Hazen mentioned studies showing an enhanced risk for cardiac events.,Dr. Hazen mentioned studies showing an enhanced risk for respiratory diseases.
What long-term effects of COVID-19 does Dr. Stanley Hazen highlight in the research findings?,Long-term effects include increased cardiovascular risks such as heart attacks.,Long-term effects include improved lung function over time.
What did Dr. Hazen identify as potentially playing a significant role in COVID-19's impact on cardiovascular health?,Blood type plays a significant role.,Skin type plays a significant role.
What common health practice is recommended to manage risk if cardiovascular disease runs in the family?,Plan annual visits with a cardiologist.,Avoid doctor visits unless symptomatic.
What year is noted as the most recent data available for COVID-19's ranking among causes of death in the US?,2022 is noted as the most recent year of data available.,2023 is noted as the most recent year of data available.
What specific long-term risk does the Cleveland Clinic study associate with even mild COVID-19 infections?,An increased risk for future cardiovascular events.,A decreased risk for neurological disorders.
By how much did the rate of triplet and higher-order multiple births in the US decline between 1998 and 2023?,The rate declined by 62%.,The rate declined by 40%.
What role does Joyce Martin have in the report on multiple births?,Joyce Martin is a researcher at the National Center for Health Statistics and the main author of the report.,Joyce Martin is a researcher at the CDC's National Institute of Allergy and Infectious Diseases.
"In what year did Nadya Suleman, also known as Octomom, give birth to eight babies?",Nadya Suleman gave birth to eight babies in 2009.,Nadya Suleman gave birth to eight babies in 2011.
"What was the all-time high rate of triplet and higher-order births per 100,000 in 1998?","The rate was about 194 births per 100,000 in 1998.","The rate was about 250 births per 100,000 in 1998."
How much did the triplet and higher-order multiple birth rate decline for White mothers from 1998 to 2023?,The rate declined by 71%.,The rate declined by 45%.
How did the rate of triplet and higher-order births for Black mothers change from 1998 to 2023?,The rate increased by 25%.,The rate decreased by 15%.
Which organization issued guidelines starting in the early 2000s to reduce multiple pregnancies in IVF treatments?,The guidelines were issued by the American Society for Reproductive Medicine and the Society for Assisted Reproductive Technology.,The guidelines were issued by the American College of Obstetricians and Gynecologists.
How many triplet and higher-order multiple births were there in the US in 1998?,"There were 7,625 such births in 1998.","There were 5,500 such births in 1998."
By what percentage did triplet and higher-order multiple birth rates decline for mothers ages 30 to 39 from 1998 to last year?,The rates declined by 77%.,The rates declined by 60%.
"According to the report, what age group of mothers saw a 57% decline in triplet and higher-order birth rates?",Mothers ages 25 to 29 saw this decline.,Mothers ages 35 to 39 saw this decline.
"What was the rate of triplet and higher-order multiple births per 100,000 in 2023?","The rate was around 74 per 100,000 in 2023.","The rate was around 100 per 100,000 in 2023."
How many times were the embryo transfer guidelines updated from 2004 to 2021?,The guidelines were updated six times.,The guidelines were updated four times.
What percentage decline in triplet and higher-order multiple birth rates was observed for mothers ages 20 to 24 between 1998 and 2023?,The decline was 16%.,The decline was 35%.
How many triplet and higher-order multiple births occurred in the US last year?,"There were 2,653 such births last year.","There were 3,400 such births last year."
What significant health risks did Dr. Amanda Williams associate with triplet and higher-order pregnancies?,"Increased risks of preterm birth, low birth weight, and gestational diabetes were cited.",Increased risks of heart disease and epilepsy were cited.
Which demographic group experienced a 25% decline in triplet and higher-order birth rates from 1998 to 2023?,Hispanic mothers experienced this decline.,Asian mothers experienced this decline.
What was the triplet and higher-order multiple birth rate for Black mothers between 1998 and 2009 before stabilizing?,The rate climbed 21% between 1998 and 2009.,The rate climbed 50% between 1998 and 2009.
Between which months did the 2022-2023 cruise ship Legionnaires' disease outbreak occur?,The outbreak occurred between November 2022 and July 2023.,The outbreak occurred between March 2023 and October 2023.
How many cruise passengers were hospitalized due to the Legionnaires' disease outbreak?,Ten passengers were hospitalized.,Twelve passengers were hospitalized.
How many cruise ships were involved in the Legionnaires' disease outbreak according to the CDC report?,Two cruise ships were involved.,Three cruise ships were involved.
What specific amenity on the cruise ships was linked to the Legionnaires' disease outbreak?,Private balcony hot tubs were linked to the outbreak.,Public swimming pools were linked to the outbreak.
"What is the temperature range conducive to Legionella growth, as noted in the CDC report?",The range is 77°F–113°F.,The range is 60°F–90°F.
How many private hot tubs tested positive for Legionella on the second ship?,Eight private hot tubs tested positive on the second ship.,Five private hot tubs tested positive on the second ship.
What did the CDC identify as the key reason for the Legionella bacteria thriving in the hot tubs?,They operated without frequent draining and with no residual disinfectant.,They were cleaned daily but not disinfected.
How many passengers contracted Legionnaires' disease on the first cruise ship?,Eight passengers contracted the disease on the first ship.,Ten passengers contracted the disease on the first ship.
Which government agency tracked the source of the Legionnaires' disease outbreak on the cruise ships?,The Centers for Disease Control and Prevention (CDC) tracked the outbreak.,The Food and Drug Administration (FDA) tracked the outbreak.
